gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
DPP4	TTDS00093	1803	TTD	inhibitor	DCL001110	IDDBCP161883			
ADRA1B	23	147	GuideToPharmacologyInteractions	antagonist	499	WB 4101	CHEMBL25554	CHEMBL25554	
PTGER2	341	5732	GuideToPharmacologyInteractions	agonist	5852	MRE-269	CHEMBL239226	CHEMBL239226	
ALK	ALK	238	MyCancerGenome	inhibitor	ASP3026	ASP3026	ASP-3026	CHEMBL3545360	
MTTP	TTDC00123	4547	TTD	inhibitor	DCL000072	BMS-201038	LOMITAPIDE	CHEMBL354541	
VEGFA	VEGFA	7422	NCI		ANTHRACYCLINE	ANTHRACYCLINE			15297400
TUBA3E	TUBA3E	112714	ChemblInteractions	inhibitor	CHEMBL107	COLCHICINE	COLCHICINE	CHEMBL107	
PTGER4	P35408	5734	TdgClinicalTrial		DINOPROSTONE	DINOPROSTONE	DINOPROSTONE	CHEMBL548	
CACNA1I	TTDS00161	8911	TTD	modulator	DAP001264	PREGABALIN	PREGABALIN	CHEMBL1059	
CHRM2	P08172	1129	TdgClinicalTrial		DOXACURIUM	DOXACURIUM	DOXACURIUM	CHEMBL1237123	
GABRE	P78334	2564	TdgClinicalTrial		CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHEMBL451	
SLC6A4	P31645	6532	TdgClinicalTrial		DULOXETINE	DULOXETINE	DULOXETINE	CHEMBL1175	
VHL	VHL	7428	CKB		Everolimus	Everolimus	EVEROLIMUS	CHEMBL1908360	26951309
DRD2	P14416	1813	TdgClinicalTrial		ASENAPINE	ASENAPINE	ASENAPINE (CHEMBL3187365)	CHEMBL3187365	
PRKCB	P05771	5579	TdgClinicalTrial		BRYOSTATIN	BRYOSTATIN	BRYOSTATIN	CHEMBL449158	
SSTR4	358	6754	GuideToPharmacologyInteractions	agonist	2013	KE 108			
JAK2	JAK2	3717	MyCancerGenome	inhibitor	RUXOLITINIB	RUXOLITINIB	RUXOLITINIB	CHEMBL1789941	
MMP2	MMP2	4313	CIViC		BEVACIZUMAB	BEVACIZUMAB	BEVACIZUMAB	CHEMBL1201583	26921265
	1397		GuideToPharmacologyInteractions	inhibitor	5277	ORLISTAT	ORLISTAT	CHEMBL175247	
AGTR1	P30556	185	TdgClinicalTrial		TASOSARTAN	TASOSARTAN	TASOSARTAN	CHEMBL432162	
PDGFRB	PDGFRB	5159	TALC	inhibitor	PAZOPANIB	PAZOPANIB	PAZOPANIB	CHEMBL477772	
PDE4C	DPDE1	5143	ChemblInteractions	inhibitor	CHEMBL1200434	OXTRIPHYLLINE	OXTRIPHYLLINE	CHEMBL1200434	
FLT1	FLT1	2321	MyCancerGenomeClinicalTrial	inhibitor	VANDETANIB	VANDETANIB	VANDETANIB	CHEMBL24828	
NOS1	1251	4842	GuideToPharmacologyInteractions	inhibitor	9147	COMPOUND 14J [PMID: 27050842]			
FPR1	222	2357	GuideToPharmacologyInteractions	antagonist	5830	DIAMIDE 7	CHEMBL1770298	CHEMBL1770298	
CDKN2A	CDKN2A	1029	CKB		ON-01910	ON-01910			25156567
TNF	TNF	7124	NCI		HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	CHEMBL1535	9002011
ALK	ALK	238	CancerCommons	inhibitor	ASP3026	ASP3026	ASP-3026	CHEMBL3545360	
HDAC11	HDAC11	79885	ChemblInteractions	inhibitor	CHEMBL3545368	PANOBINOSTAT LACTATE	PANOBINOSTAT LACTATE	CHEMBL3545368	
KRAS	KRAS	3845	CKB		GA201	GA201	IMGATUZUMAB	CHEMBL2109389	23209031
PDGFRA	PDGFRA	5156	DoCM		IMATINIB	IMATINIB	IMATINIB	CHEMBL941	15928335,15685537,22718859,16638875,15146165,12949711,26130666,25157968,24132921,14645423,16954519,18794084,22745105
TPMT	TPMT	7172	CGI		Thioguanine	Thioguanine	THIOGUANINE	CHEMBL727	
MTNR1A	287	4543	GuideToPharmacologyInteractions	agonist	1356	RAMELTEON	RAMELTEON	CHEMBL1218	
TRPM3	495	80036	GuideToPharmacologyInteractions	channel blocker	2593	MEFENAMIC ACID	MEFENAMIC ACID	CHEMBL686	
LIPC	LIPC	3990	NCI		ETHANOL	ETHANOL	ALCOHOL	CHEMBL545	7163806
DHFR	TTDS00208	1719	TTD	inhibitor	DAP001493	MCB-3837	PYRIMETHAMINE	CHEMBL36	
ADRA2A	P08913	150	TdgClinicalTrial		AGN-214868	AGN-214868	SENREBOTASE	CHEMBL3137348	
CTLA4	2743	1493	GuideToPharmacologyInteractions	antibody	6888	IPILIMUMAB	IPILIMUMAB	CHEMBL1789844	
GABRR1	P24046	2569	TdgClinicalTrial		TRIAZOLAM	TRIAZOLAM	TRIAZOLAM	CHEMBL646	
TUBA1A	Q71U36	7846	TdgClinicalTrial		MEBENDAZOLE	MEBENDAZOLE	MEBENDAZOLE	CHEMBL685	
GGCX	P38435	2677	TEND		PHYTONADIONE	PHYTONADIONE	PHYTONADIONE	CHEMBL1550	
NAT1	NAT1	9	ChemblInteractions	inhibitor	CHEMBL1201023	ORPHENADRINE (CHLORIDE)	ORPHENADRINE (CHLORIDE)	CHEMBL1201023	
SLC6A2	926	6530	GuideToPharmacologyInteractions	inhibitor	7266	PHENELZINE	PHENELZINE	CHEMBL1089	
LTB4R	BLT	1241	ChemblInteractions	antagonist	CHEMBL1742420	AMELUBANT	AMELUBANT	CHEMBL1742420	
SCN4A	SCN4A	6329	ChemblInteractions	blocker	CHEMBL315985	ESLICARBAZEPINE	ESLICARBAZEPINE	CHEMBL315985	
MAP2K1	MEK1	5604	ClearityFoundationClinicalTrial		SELUMETINIB	SELUMETINIB	SELUMETINIB	CHEMBL1614701	
CLCN2	CLCN2	1181	ChemblInteractions		CHEMBL1201134	LUBIPROSTONE	LUBIPROSTONE	CHEMBL1201134	
PPARG	P37231	5468	TdgClinicalTrial		GTF505	GTF505			
PDGFRB	1804	5159	GuideToPharmacologyInteractions	inhibitor	5664	CEDIRANIB	CEDIRANIB	CHEMBL491473	
GRIN2A	NMDAR2A	2903	ChemblInteractions	positive allosteric modulator	CHEMBL1255840	NEBOGLAMINE	NEBOGLAMINE	CHEMBL1255840	
PDE4B	Q07343	5142	TdgClinicalTrial		RPL-554	RPL-554			
CCR2	59	729230	GuideToPharmacologyInteractions	agonist	774	VCCL4			
HDAC11	Q96DB2	79885	TdgClinicalTrial		CUDC-101	CUDC-101	CUDC-101	CHEMBL598797	
GFAP	GFAP	2670	NCI		IMMUNOTOXIN	IMMUNOTOXIN			17267125
PIK3R1	PIK3R1	5295	ClearityFoundationBiomarkers		ZSTK474	ZSTK474	ZSTK-474	CHEMBL586701	
GCGR	TTDS00439	2642	TTD	binder	DAP001037	GLUCAGON RECOMBINANT	GLUCAGON	CHEMBL266481	
AR	DHTR	367	ChemblInteractions	agonist	CHEMBL2107067	TESTOSTERONE UNDECANOATE	TESTOSTERONE UNDECANOATE	CHEMBL2107067	
ABL1	P00519	25	TEND		DASATINIB	DASATINIB	DASATINIB	CHEMBL1421	
	293		GuideToPharmacologyInteractions	allosteric modulator	1430	PTEB			
NQO1	P15559	1728	TEND		MENADIONE	MENADIONE	MENADIONE	CHEMBL590	
	42		GuideToPharmacologyInteractions	antagonist	667	ICATIBANT	ICATIBANT	CHEMBL2028850	
KDR	FLK1	3791	ChemblInteractions	agonist	CHEMBL2108557	TELBERMIN	TELBERMIN	CHEMBL2108557	
GRIA4	447	2893	GuideToPharmacologyInteractions	allosteric modulator	4166	CX546	CHEMBL1255648	CHEMBL1255648	
CA1	P00915	759	TEND		DICHLORPHENAMIDE	DICHLORPHENAMIDE	DICHLORPHENAMIDE	CHEMBL17	
	TTDS00213		TTD		DAP000790	MECHLORETHAMINE	MECHLORETHAMINE	CHEMBL427	
LHCGR	LCGR	3973	ChemblInteractions	agonist	CHEMBL1201464	CHORIOGONADOTROPIN ALFA	CHORIOGONADOTROPIN ALFA	CHEMBL1201464	
DRD2	215	1813	GuideToPharmacologyInteractions	agonist	950	7-OH-DPAT	CHEMBL285755	CHEMBL285755	
CHRNA10	470	57053	GuideToPharmacologyInteractions	antagonist	3980	[3H]METHYLLYCACONITINE	METHYLLYCACONITINE	CHEMBL510275	
SLC6A4	928	6532	GuideToPharmacologyInteractions	inhibitor	59	ZIPRASIDONE	ZIPRASIDONE	CHEMBL708	
HTR1D	HTR1DA	3352	ChemblInteractions	agonist	CHEMBL2062265	ERGOTAMINE TARTRATE	ERGOTAMINE TARTRATE	CHEMBL2062265	
FLT1	P17948	2321	TdgClinicalTrial		TABERMINOGENE VADENOVEC	TABERMINOGENE VADENOVEC	TABERMINOGENE VADENOVEC	CHEMBL2108065	
KDR	FLK1	3791	ChemblInteractions	inhibitor	CHEMBL3545339	Fruquintinib	Fruquintinib	CHEMBL3545339	
PRKCE	TTDC00066	5581	TTD	activator	DCL000140	KAI-1455	MEPROBAMATE	CHEMBL979	
HRH4	265	59340	GuideToPharmacologyInteractions	antagonist	8982	INCB-38579	NAFCILLIN	CHEMBL1443	
	365		GuideToPharmacologyInteractions	antagonist	2166	TOLYACETYL-C[DCYS-APA-DTRP-ORN-VAL-CYS]-HIS-AMIDE			
	870		GuideToPharmacologyInteractions		4698	[3H]D-ASPARTIC ACID			
HDAC8	2619	55869	GuideToPharmacologyInteractions	inhibitor	7490	GIVINOSTAT	CHEMBL1213492	CHEMBL1213492	
SLC18A1	1011	6570	GuideToPharmacologyInteractions	inhibitor	88	KETANSERIN	KETANSERIN	CHEMBL51	
CHRM1	P11229	1128	TEND		BENZQUINAMIDE	BENZQUINAMIDE	BENZQUINAMIDE	CHEMBL1201250	
NTRK1	NTRK1	4914	NCI		GAMMA-INTERFERON	GAMMA-INTERFERON	INTERFERON GAMA-1B	CHEMBL1201564	8144393
DPP4	ADCP2	1803	ChemblInteractions	inhibitor	CHEMBL2105762	OMARIGLIPTIN	OMARIGLIPTIN	CHEMBL2105762	
KDR	P35968	3791	TEND		SORAFENIB	SORAFENIB	SORAFENIB	CHEMBL1336	
CCR5	CMKBR5	1234	ChemblInteractions	antagonist	CHEMBL1201187	MARAVIROC	MARAVIROC	CHEMBL1201187	
HDAC4	HDAC4	9759	TALC	inhibitor	CUDC-101	CUDC-101	CUDC-101	CHEMBL598797	
CSNK2A1	1549	1457	GuideToPharmacologyInteractions	inhibitor	8140	COMPOUND 2C [PMID: 22115617]			
DRD3	216	1814	GuideToPharmacologyInteractions	agonist	35	BROMOCRIPTINE	BROMOCRIPTINE	CHEMBL493	
FCGR3A	FCGR3A	2214	NCI		PROTEASE INHIBITORS	PROTEASE INHIBITORS			16103765
MAPK11	PRKM11	5600	ChemblInteractions	inhibitor	CHEMBL190333	RWJ-67657	RWJ-67657	CHEMBL190333	
ABAT	TTDS00024	18	TTD	inhibitor	DAP000805	L-ALANINE	L-ALANINE	CHEMBL279597	
CCR5	62	1234	GuideToPharmacologyInteractions	agonist	763	[125I]CCL3 (HUMAN)	GUANIDINO ACETATE	CHEMBL281593	
P4HTM	PH4	54681	ChemblInteractions	inhibitor	CHEMBL3544988	DAPRODUSTAT	DAPRODUSTAT	CHEMBL3544988	
DRD2	P14416	1813	TEND		SERTINDOLE	SERTINDOLE	SERTINDOLE	CHEMBL12713	
AVPR2	ADHR	554	ChemblInteractions	antagonist	CHEMBL344159	TOLVAPTAN	TOLVAPTAN	CHEMBL344159	
GABRR2	421	2570	GuideToPharmacologyInteractions	antagonist	4096	CIS-3-ACPBPA			
FLT1	FLT1	2321	ClearityFoundationClinicalTrial		NINTEDANIB	NINTEDANIB	NINTEDANIB	CHEMBL502835	
KDR	1813	3791	GuideToPharmacologyInteractions	inhibitor	5712	SU-14813	SU-14813	CHEMBL3545160	
DRD2	P14416	1813	TEND		REMOXIPRIDE	REMOXIPRIDE	REMOXIPRIDE	CHEMBL22242	
ABL2	TTDS00350	27	TTD	inhibitor	DAP000474	ADENOSINE TRIPHOSPHATE	ADENOSINE TRIPHOSPHATE	CHEMBL14249	
PPARA	TTDS00340	5465	TTD	agonist	DCL000897	NETOGLITAZONE	NETOGLITAZONE	CHEMBL93747	
GRIN3A	Q8TCU5	116443	TdgClinicalTrial		LATREPIRDINE	LATREPIRDINE	LATREPIRDINE	CHEMBL589390	
TXK	2268	7294	GuideToPharmacologyInteractions	inhibitor	8148	COMPOUND 31 [PMID: 24915291]			
PIK3CG	PIK3CG	5294	ChemblInteractions	inhibitor	CHEMBL230011	TG100-115	TG100-115	CHEMBL230011	
CHRM2	14	1129	GuideToPharmacologyInteractions	antagonist	368	[3H]AF DX-384	CHEMBL279453	CHEMBL279453	
AR	628	367	GuideToPharmacologyInteractions	antagonist	8638	GALETERONE	GALETERONE	CHEMBL2105738	
DPP4	P27487	1803	TdgClinicalTrial		VILDAGLIPTIN	VILDAGLIPTIN	VILDAGLIPTIN	CHEMBL142703	
NR3C1	P04150	2908	TdgClinicalTrial		BUDESONIDE	BUDESONIDE	BUDESONIDE	CHEMBL1370	
CYP1A1	CYP1A1	1543	NCI		POLYPHENOL	POLYPHENOL			16316927
PTEN	PTEN	5728	CKB		Temsirolimus	Temsirolimus	TEMSIROLIMUS	CHEMBL1201182	27016228
AR	TTDS00367	367	TTD	modulator	DPR000088	OSTARINE			
MSH6	MSH6	2956	OncoKB		Ipilimumab	Ipilimumab	IPILIMUMAB	CHEMBL1789844	25840693,25891304,27718784,20525992,28212060,26970723,27733243,25399552,27718847,26952546,27451390,25891173,26028407,26800463,26559592,26406148,26028255
TUBB1	Q9H4B7	81027	TEND		PACLITAXEL	PACLITAXEL	PACLITAXEL	CHEMBL428647	
CYP3A43	CYP3A43	64816	NCI		GINKGO	GINKGO	GINKGO	CHEMBL2108466	15901353
ADRA1A	P35348	148	TdgClinicalTrial		ASENAPINE	ASENAPINE	ASENAPINE (CHEMBL3187365)	CHEMBL3187365	
MS4A1	MS4A1	931	FDA		Rituximab	Rituximab	RITUXIMAB	CHEMBL1201576	
IDH1	IDH1	3417	CKB		BAY1436032	BAY1436032			28232670
GRM1	GRM1	2911	NCI		DHPG	DHPG	GANCICLOVIR	CHEMBL182	15212418,10530812,12623213,14552898,8979807,12421605,11181420,1362358,8532171,9822771
DDIT4	TTDC00241	54541	TTD		DCL000599	PF-4523655	SCRIPTAID	CHEMBL96051	
SCN5A	Q14524	6331	TEND		FOSPHENYTOIN	FOSPHENYTOIN	FOSPHENYTOIN	CHEMBL1201336	
P2RY6	326	5031	GuideToPharmacologyInteractions	agonist	1731	5BRUTP	CHEMBL384527	CHEMBL384527	
PIK3R3	PIK3R3	8503	MyCancerGenome	inhibitor	GDC-0941	GDC-0941	PICTILISIB	CHEMBL521851	
GSTP1	GSTP1	2950	NCI		DNR	DNR	DAUNORUBICIN	CHEMBL178	10050715
GABRQ	GABRQ	55879	ChemblInteractions	positive allosteric modulator	CHEMBL526	PROPOFOL	PROPOFOL	CHEMBL526	
	TTDS00462		TTD	binder	DAP001327	GRAMICIDIN D	GRAMICIDIN S	CHEMBL373496	
PTGS1	COX1	5742	ChemblInteractions	inhibitor	CHEMBL956	SUPROFEN	SUPROFEN	CHEMBL956	
GABRA5	GABRA5	2558	ChemblInteractions	positive allosteric modulator	CHEMBL451	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHEMBL451	
GABRA1	P14867	2554	TdgClinicalTrial		CLONAZEPAM	CLONAZEPAM	CLONAZEPAM	CHEMBL452	
JAK2	JAK2	3717	CKB		Pembrolizumab	Pembrolizumab	PEMBROLIZUMAB	CHEMBL3137343	27433843
PIK3CA	PIK3CA	5290	MyCancerGenome	inhibitor	INK-1117	INK-1117	INK-1117	CHEMBL3545055	
PTGER4	343	5734	GuideToPharmacologyInteractions	agonist	1881	PGD2			
	PI3KCA		ClearityFoundationClinicalTrial		NVP-BEZ239	NVP-BEZ239			
CPT2	1376	1376	GuideToPharmacologyInteractions	inhibitor	7219	MECLOFENAMIC ACID	MECLOFENAMIC ACID	CHEMBL509	
WNK1	2280	65125	GuideToPharmacologyInteractions	inhibitor	8836	PP1	CHEMBL306380	CHEMBL306380	
TUBA3E	TUBA3E	112714	ChemblInteractions	inhibitor	CHEMBL501867	VINCRISTINE SULFATE	VINCRISTINE SULFATE	CHEMBL501867	
IL2	IL2	3558	NCI		GARLIC EXTRACT	GARLIC EXTRACT			8402735
FSHR	P23945	2492	TEND		MENOTROPINS	MENOTROPINS	MENOTROPINS	CHEMBL2108427	
ALOX5AP	P20292	241	TdgClinicalTrial		DG031	DG031	VELIFLAPON	CHEMBL88712	
RXRG	NR2B3	6258	ChemblInteractions	agonist	CHEMBL705	ALITRETINOIN	ALITRETINOIN	CHEMBL705	
PRSS2	P07478	5645	TdgClinicalTrial		DERMOLASTIN	DERMOLASTIN	CHEMBL27885	CHEMBL27885	
ADRA1B	P35368	147	TdgClinicalTrial		TAMSULOSIN	TAMSULOSIN	TAMSULOSIN	CHEMBL836	
HRH1	P35367	3269	TdgClinicalTrial		BROMODIPHENHYDRAMINE	BROMODIPHENHYDRAMINE	BROMODIPHENHYDRAMINE	CHEMBL1201245	
PIK3CB	2154	5291	GuideToPharmacologyInteractions	inhibitor	7794	TASELISIB	TASELISIB	CHEMBL2387080	
KCNQ1	560	3784	GuideToPharmacologyInteractions	activator	2439	NIFLUMIC ACID	NIFLUMIC ACID	CHEMBL63323	
NR3C1	GRL	2908	ChemblInteractions	agonist	CHEMBL1200376	BETAMETHASONE BENZOATE	BETAMETHASONE BENZOATE	CHEMBL1200376	
RPS6KB1	STK14A	6198	ChemblInteractions	inhibitor	CHEMBL3545134	LY-2780301	LY-2780301	CHEMBL3545134	
BDNF	BDNF	627	NCI		CAPSAICIN	CAPSAICIN	CAPSAICIN	CHEMBL294199	10430952
CHRM1	CHRM1	1128	ChemblInteractions	agonist	CHEMBL1200330	PILOCARPINE HYDROCHLORIDE	PILOCARPINE HYDROCHLORIDE	CHEMBL1200330	
TUBB1	TUBB1	81027	ChemblInteractions	inhibitor	CHEMBL1743082	TRASTUZUMAB EMTANSINE	TRASTUZUMAB EMTANSINE	CHEMBL1743082	
CTNNB1	CTNNB1	1499	CKB		NVP-TNKS656	NVP-TNKS656			26224873
GRM7	295	2917	GuideToPharmacologyInteractions	agonist	1411	L-SERINE-O-PHOSPHATE	DEXFOSFOSERINE	CHEMBL284377	
UGT1A1	UGT1A1	54658	CIViC		BELINOSTAT	BELINOSTAT	BELINOSTAT	CHEMBL408513	26313268
PDGFRB	1804	5159	GuideToPharmacologyInteractions	inhibitor	8183	PD166285			
GABRA3	P34903	2556	TEND		MEPROBAMATE	MEPROBAMATE	MEPROBAMATE	CHEMBL979	
ITGB2	ITGB2	3689	NCI		LAK CELL	LAK CELL	EDARAVONE	CHEMBL290916	7947458,8381564,1683349
PAH	P00439	5053	TEND		TETRAHYDROBIOPTERIN	TETRAHYDROBIOPTERIN	SAPROPTERIN	CHEMBL1201774	
SMO	239	6608	GuideToPharmacologyInteractions	antagonist	8198	SARIDEGIB	SARIDEGIB	CHEMBL538867	
GABRA1	P14867	2554	TEND		CLORAZEPATE	CLORAZEPATE	CLORAZEPIC ACID	CHEMBL1213252	
GRIN2D	GluN2D	2906	ChemblInteractions		CHEMBL2364609	ESKETAMINE HYDROCHLORIDE	ESKETAMINE HYDROCHLORIDE	CHEMBL2364609	
RRM2	RR2	6241	ChemblInteractions	inhibitor	CHEMBL467	HYDROXYUREA	HYDROXYUREA	CHEMBL467	
CSF2RA	CSF2R	1438	ChemblInteractions	agonist	CHEMBL1201670	SARGRAMOSTIM	SARGRAMOSTIM	CHEMBL1201670	
IFNG	IFNG	3458	NCI		CYCLOPHOSPHAMIDE	CYCLOPHOSPHAMIDE	CYCLOPHOSPHAMIDE	CHEMBL88	10823419
EDNRB	EDNRB	1910	NCI		PACLITAXEL	PACLITAXEL	PACLITAXEL	CHEMBL428647	16741060
IL2RG	IL2RG	3561	ChemblInteractions		CHEMBL1201550	DENILEUKIN DIFTITOX	DENILEUKIN DIFTITOX	CHEMBL1201550	
PTGES3	PTGES3	10728	NCI		GENISTEIN	GENISTEIN	GENISTEIN	CHEMBL44	15229138
CCR3	60	1232	GuideToPharmacologyInteractions	agonist	773	HIV-TAT			
PTEN	PTEN	5728	CKB		PF-04691502	PF-04691502	PF-04691502	CHEMBL1234354	21750219
F11	P03951	2160	TdgClinicalTrial		ANTITHROMBIN	ANTITHROMBIN			
BCL2	BCL2	596	NCI		HYDROQUINONE	HYDROQUINONE	HYDROQUINONE	CHEMBL537	10220568
KDR	VEGFR	3791	TALC	inhibitor	ENMD-2076	ENMD-2076	ENMD-2076	CHEMBL482968	
NPR1	ANPRA	4881	ChemblInteractions	agonist	CHEMBL1201668	NESIRITIDE	NESIRITIDE	CHEMBL1201668	
RRM2	RR2	6241	ChemblInteractions	inhibitor	CHEMBL1096882	FLUDARABINE PHOSPHATE	FLUDARABINE PHOSPHATE	CHEMBL1096882	
SSTR3	357	6753	GuideToPharmacologyInteractions	agonist	2073	L-796,778	AJMALINE	CHEMBL2105617	
DRD5	218	1816	GuideToPharmacologyInteractions	agonist	940	DOPAMINE	DOPAMINE	CHEMBL59	
ADRB1	P08588	153	TdgClinicalTrial		ACEBUTOLOL	ACEBUTOLOL	ACEBUTOLOL	CHEMBL642	
NDUFB2	NDUFB2	4708	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
TNFSF13	O75888	8741	TdgClinicalTrial		TACI-IG	TACI-IG	ATACICEPT	CHEMBL1742986	
NR3C1	625	2908	GuideToPharmacologyInteractions		9247	VAMOROLONE	VAMOROLONE	CHEMBL3707311	
FLT3	FLT3	2322	MyCancerGenome	inhibitor	PLX3397	PLX3397	PLX-3397	CHEMBL3545158	
PSMB4	PROS26	5692	ChemblInteractions	inhibitor	CHEMBL2103884	OPROZOMIB	OPROZOMIB	CHEMBL2103884	
KIT	KIT	3815	CIViC		IMATINIB	IMATINIB	IMATINIB	CHEMBL941	22114577,15201427,21953054,16143141,21690468,17372901,16624552,18421059,23775962,19671763,17699867,14645423,21642685,16954519
	246		GuideToPharmacologyInteractions	agonist	1093	GHRP-6	CHEMBL105462	CHEMBL105462	
NR3C2	MCR	4306	ChemblInteractions	agonist	CHEMBL1200592	DESOXYCORTICOSTERONE PIVALATE	DESOXYCORTICOSTERONE PIVALATE	CHEMBL1200592	
SI	SI	6476	NCI		DEXAMETHASONE	DEXAMETHASONE	DEXAMETHASONE	CHEMBL384467	2295387
ADRA1B	P35368	147	TdgClinicalTrial		DAPIPRAZOLE	DAPIPRAZOLE	DAPIPRAZOLE	CHEMBL1201216	
MAP2K1	Q02750	5604	TdgClinicalTrial		WX-554	WX-554	WX-554	CHEMBL3545145	
PSMB2	PSMB2	5690	ChemblInteractions	inhibitor	CHEMBL451887	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
TRPC5	490	7224	GuideToPharmacologyInteractions	channel blocker	2438	BTP2			
ATP2A1	840	487	GuideToPharmacologyInteractions	allosteric modulator	8822	TGN4			
