drug_claim_name	drug_name	chembl_id	drug_claim_source
6302	ARTEPILLIN	CHEMBL456309	GuideToPharmacologyInteractions
411	MORIN	CHEMBL28626	GuideToPharmacologyInteractions
AMG-208	AMG-208	CHEMBL496102	PubChem
EPIPREGNANOLONE SULFATE			PubChem
XL647	TESEVATINIB	CHEMBL3544983	TdgClinicalTrial
922			GuideToPharmacologyInteractions
CHEMBL2177736	CHEMBL2177736	CHEMBL2177736	PubChem
ABIRATERONE	ABIRATERONE	CHEMBL254328	CIViC
Trimethoprim	TRIMETHOPRIM	CHEMBL22	FDA
CGM097			CKB
ARRY-380	Irbinitinib	CHEMBL3545380	TdgClinicalTrial
APIDRA	INSULIN GLULISINE	CHEMBL1201613	PubChem
7216	LORATADINE	CHEMBL998	GuideToPharmacologyInteractions
CHEMBL256087	MENTHOL	CHEMBL256087	ChemblInteractions
DCL001052			TTD
PRALATREXATE	PRALATREXATE	CHEMBL1201746	PubChem
CHEMBL1200935	DARIFENACIN HYDROBROMIDE	CHEMBL1200935	ChemblInteractions
ALPHA-D-FUCOSE	CHEMBL609880	CHEMBL609880	PubChem
906673-24-3	CRISABOROLE	CHEMBL484785	PubChem
1830			GuideToPharmacologyInteractions
CO-1686	ROCILETINIB	CHEMBL3545308	MyCancerGenome
1476			GuideToPharmacologyInteractions
5890	PONATINIB	CHEMBL1171837	GuideToPharmacologyInteractions
BRYOSTATIN 1	BRYOSTATIN	CHEMBL449158	NCI
CHEMBL193	NIFEDIPINE	CHEMBL193	ChemblInteractions
8876			GuideToPharmacologyInteractions
HEXADECANOATE	PALMITIC ACID	CHEMBL82293	PubChem
CHEMBL1767407	DENUFOSOL TETRASODIUM	CHEMBL1767407	ChemblInteractions
Flibanserin	FLIBANSERIN	CHEMBL231068	FDA
DOVITINIB	DOVITINIB	CHEMBL522892	CancerCommons
POSIPHEN			TdgClinicalTrial
BIVALIRUDIN TRIFLUOROACETATE	BIVALIRUDIN	CHEMBL2103749	PubChem
CLELAND'S REAGENT	DL-DITHIOTHREITOL	CHEMBL47903	PubChem
ASPARTATE BERYLLIUM TRIFLUORIDE			PubChem
S-1			NCI
TACI-IG	ATACICEPT	CHEMBL1742986	TdgClinicalTrial
ONCOVEX GM-CSF			TdgClinicalTrial
CHEMBL1742984	AMATUXIMAB	CHEMBL1742984	ChemblInteractions
L-CYCLOSERINE	LEVCYCLOSERINE	CHEMBL448864	PubChem
BYL719	ALPELISIB	CHEMBL2396661	CGI
3842			GuideToPharmacologyInteractions
S-49076			CKB
336115-72-1	CK0106023	CHEMBL1164552	PubChem
LUPINIDINE	SPARTEINE	CHEMBL412873	PubChem
DAP001026	PALIFERMIN	CHEMBL1201821	TTD
CHEMBL2109332	MLNM-2201	CHEMBL2109332	ChemblInteractions
2,2,5,5-TETRAMETHYL-3-(SULFANYLMETHYL)-2,5-DIHYDRO-1H-PYRROL-1-OL			PubChem
GTPL2204	CHEMBL3307200	CHEMBL3307200	PubChem
6156	SC-41390	CHEMBL14823	GuideToPharmacologyInteractions
MF tricyclic			CKB
PYRONARIDINE	PYRONARIDINE	CHEMBL35228	PubChem
FORADIL (TN)	FORMOTEROL FUMARATE DIHYDRATE	CHEMBL2303638	PubChem
INTERLEUKIN-2 EXPRESSING PLASMID			TdgClinicalTrial
CILENGITIDE	CILENGITIDE	CHEMBL429876	TALC
5082	TRASTUZUMAB	CHEMBL1201585	GuideToPharmacologyInteractions
Ibuprofen	IBUPROFEN	CHEMBL521	CKB
CISAPRIDE HYDRATE	CISAPRIDE MONOHYDRATE	CHEMBL1200788	PubChem
DOLASETRON	DOLASETRON	CHEMBL2368925	TEND
MICONAZOLE	MICONAZOLE	CHEMBL91	PubChem
ILOPERIDONE	ILOPERIDONE	CHEMBL14376	TEND
L-745870	L-745870	CHEMBL267014	PubChem
Entrectinib	ENTRECTINIB	CHEMBL1983268	CKB
7876	BOCEPREVIR	CHEMBL218394	GuideToPharmacologyInteractions
DB03218	CHEMBL443455	CHEMBL443455	PubChem
LASOFOXIFENE	LASOFOXIFENE	CHEMBL328190	TdgClinicalTrial
DEOXYCYTIDINE	DEOXYCYTIDINE	CHEMBL66115	NCI
DIZOCILPINE	DIZOCILPINE	CHEMBL284237	PubChem
OMAPATRILAT	OMAPATRILAT	CHEMBL289556	PubChem
DB06892			PubChem
8476			GuideToPharmacologyInteractions
FLUOXETINE	FLUOXETINE	CHEMBL41	TEND
8932			GuideToPharmacologyInteractions
CHEMBL3545388	Seridopidine	CHEMBL3545388	ChemblInteractions
6157	CHEMBL422420	CHEMBL422420	GuideToPharmacologyInteractions
DCL000850	IPAMORELIN	CHEMBL58547	TTD
DAP000158	MOXIFLOXACIN	CHEMBL32	TTD
AGN-214868	SENREBOTASE	CHEMBL3137348	TdgClinicalTrial
IPILIMUMAB	IPILIMUMAB	CHEMBL1789844	TALC
3-(INDOL-3-YL) LACTATE			PubChem
HERBIMYCIN	HERBIMYCIN	CHEMBL479533	PubChem
1685			GuideToPharmacologyInteractions
2600	CHEMBL317935	CHEMBL317935	GuideToPharmacologyInteractions
TALBUTAL-PERMETHYLATED	TALBUTAL	CHEMBL1200802	PubChem
DAP001376	EPALRESTAT	CHEMBL56337	TTD
DCL001068	AT-9283	CHEMBL495727	TTD
DANSYLLYSINE			PubChem
SIMVASTATIN	SIMVASTATIN	CHEMBL1064	TdgClinicalTrial
886047-13-8			PubChem
DAP000477	TOLAZOLINE	CHEMBL770	TTD
TERBUTALINE	TERBUTALINE	CHEMBL1760	TEND
2599	LINOPIRDINE	CHEMBL319111	GuideToPharmacologyInteractions
(S)-MCPG	CHEMBL257626	CHEMBL257626	PubChem
AC1L30XJ	CIZOLIRTINE	CHEMBL92501	PubChem
ENDOTHELIN RECEPTOR ANTAGONIST			NCI
OXYPHENCYCLIMINE HYDROCHLORIDE	OXYPHENCYCLIMINE HYDROCHLORIDE	CHEMBL1200891	PubChem
RIMEXOLONE	RIMEXOLONE	CHEMBL1200617	PubChem
L-PROLINE	L-PROLINE	CHEMBL54922	PubChem
INCB13739	PHENYLARSINE OXIDE	CHEMBL477683	TdgClinicalTrial
HSP90 inhibitor			CGI
UM-164			CKB
(S)-STYRENE OXIDE	VARENICLINE	CHEMBL1396	PubChem
BETULINIC ACID	BETULINIC ACID	CHEMBL269277	PubChem
1372540-25-4	GSK-2636771	CHEMBL3188551	MyCancerGenomeClinicalTrial
DCL001190	CHEMBL1956820	CHEMBL1956820	TTD
3127			GuideToPharmacologyInteractions
ACETYLSALICYLIC ACID	ASPIRIN	CHEMBL25	NCI
PUMOSETRAG	PUMOSETRAG	CHEMBL1643880	PubChem
BRN 4811237	ICOSAPENT ETHYL	CHEMBL2095209	PubChem
IN1077	CHEMBL2062155	CHEMBL2062155	PubChem
5552	OLEOYL DOPAMINE	CHEMBL250711	GuideToPharmacologyInteractions
FLUOXYMESTERONE	FLUOXYMESTERONE	CHEMBL1445	TEND
CHEMBL3545005	PLX-8394	CHEMBL3545005	ChemblInteractions
AFAMELANOTIDE	AFAMELANOTIDE	CHEMBL2108301	TdgClinicalTrial
(S)-HMG-COA	3-HYDROXY-3-METHYLGLUTARYL-COENZYME A	CHEMBL1794644	PubChem
6292	CHLOROPICRIN	CHEMBL1327143	GuideToPharmacologyInteractions
5866			GuideToPharmacologyInteractions
SS1(DSFV)-PE38	SS1(dsFv)-PE38	CHEMBL2109516	TdgClinicalTrial
CHEMBL3545030	JNJ-17216498	CHEMBL3545030	ChemblInteractions
CHEMBL540929	CHEMBL540929	CHEMBL540929	PubChem
CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHEMBL451	TdgClinicalTrial
PHYTONADIOL			PubChem
L 365260	CHEMBL289498	CHEMBL289498	PubChem
TCMDC-139245	CHEMBL432713	CHEMBL432713	PubChem
767	BICARBONATE	CHEMBL1161632	GuideToPharmacologyInteractions
CHEMBL185	FLUOROURACIL	CHEMBL185	ChemblInteractions
CHEMBL258040	CHEMBL258040	CHEMBL258040	PubChem
8403	RETOSIBAN	CHEMBL429736	GuideToPharmacologyInteractions
DB07509			PubChem
SURINABANT	SURINABANT	CHEMBL189676	PubChem
7865	BISPHENOL A	CHEMBL418971	GuideToPharmacologyInteractions
R547	RG-547	CHEMBL384304	CKB
8944	EMACTUZUMAB	CHEMBL3545370	GuideToPharmacologyInteractions
769	BICARBONATE	CHEMBL1161632	GuideToPharmacologyInteractions
CETUXIMAB	CETUXIMAB	CHEMBL1201577	NCI
ROSUSTATIN	BISOPROLOL FUMARATE	CHEMBL1200708	PubChem
1077-27-6	CHEMBL1234071	CHEMBL1234071	PubChem
4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID			PubChem
4295			GuideToPharmacologyInteractions
SPARFLOXACIN	SPARFLOXACIN	CHEMBL850	PubChem
RISPERIDONE	RISPERIDONE	CHEMBL85	TEND
RAFAMETINIB			ClearityFoundationBiomarkers
99	SPIPERONE	CHEMBL267930	GuideToPharmacologyInteractions
TENECTEPLASE	TENECTEPLASE	CHEMBL2108791	TEND
2BRO			PubChem
PAZOPANIB	PAZOPANIB	CHEMBL477772	TALC
CHEMBL324951	CHEMBL324951	CHEMBL324951	PubChem
BGG-492	Selurampanel	CHEMBL3545042	TdgClinicalTrial
INCB18424	RUXOLITINIB	CHEMBL1789941	TdgClinicalTrial
5905	IDOXURIDINE	CHEMBL788	GuideToPharmacologyInteractions
6275			GuideToPharmacologyInteractions
CHEMBL418854	CHEMBL418854	CHEMBL418854	PubChem
CHEMBL321130			PubChem
AC1NRAZT			PubChem
N-[2-(5-METHYL-4H-1,2,4-TRIAZOL-3-YL)PHENYL]-7H-PYRROLO[2,3-D]PYRIMIDIN-4-AMINE	CHEMBL428963	CHEMBL428963	PubChem
GTPL1738			PubChem
ADENOVIRAL PDGF B			TdgClinicalTrial
IPRATROPIUM BROMIDE	IPRATROPIUM BROMIDE	CHEMBL1464005	PubChem
L09	CHEMBL191598	CHEMBL191598	PubChem
ORLISTAT	ORLISTAT	CHEMBL175247	TdgClinicalTrial
Decitabine	DECITABINE	CHEMBL1201129	CGI
Octreotide	OCTREOTIDE	CHEMBL1680	CGI
NITRAZEPAM	NITRAZEPAM	CHEMBL13209	TEND
CARISBAMATE	CARISBAMATE	CHEMBL2087003	PubChem
HUMALOG	INSULIN LISPRO	CHEMBL1201538	PubChem
DCL000675			TTD
CHEMBL3545177	AZD-0424	CHEMBL3545177	ChemblInteractions
CHEMBL1690	HYDROXYCHLOROQUINE SULFATE	CHEMBL1690	ChemblInteractions
1507			GuideToPharmacologyInteractions
FASCAPLYSIN	FASCAPLYSIN	CHEMBL602937	PubChem
DCL000498	AFATINIB	CHEMBL1173655	TTD
NANDROLONE	NANDROLONE	CHEMBL757	TdgClinicalTrial
N-(4-OXO-5,6,7,8-TETRAHYDRO-4H-[1,3]THIAZOLO[5,4-C]AZEPIN-2-YL)ACETAMIDE	CHEMBL562743	CHEMBL562743	PubChem
TANESPIMYCIN	TANESPIMYCIN	CHEMBL109480	TdgClinicalTrial
ANTHRACYCLINE			NCI
ALFENTANIL	ALFENTANIL	CHEMBL634	TdgClinicalTrial
234			GuideToPharmacologyInteractions
DIDEMNIN B	DIDEMNIN B	CHEMBL2304286	NCI
DPR000074			TTD
ASCOTOP			PubChem
DAP001115			TTD
ALUMINUM TRIS(2-AMINOACETATE)	ALUMINIUM GLYCINATE	CHEMBL3707233	PubChem
CHEMBL220491	BRINZOLAMIDE	CHEMBL220491	ChemblInteractions
CHEMBL1200595	CHLORPHENTERMINE HYDROCHLORIDE	CHEMBL1200595	ChemblInteractions
3891			GuideToPharmacologyInteractions
6999			GuideToPharmacologyInteractions
PHYLLOQUINONE	VITAMIN K	CHEMBL1201519	PubChem
6407	CHEMBL1808901	CHEMBL1808901	GuideToPharmacologyInteractions
6111			GuideToPharmacologyInteractions
6710	CHEMBL304858	CHEMBL304858	GuideToPharmacologyInteractions
PIPECURONIUM			PubChem
CHEMBL99516	OFATUMUMAB	CHEMBL1201836	PubChem
4026	CHEMBL275507	CHEMBL275507	GuideToPharmacologyInteractions
VASCULAR ENDOTHELIAL GROWTH FACTOR	BEVACIZUMAB	CHEMBL1201583	NCI
5992	CHEMBL21156	CHEMBL21156	GuideToPharmacologyInteractions
DEBIO-9902 SR			TdgClinicalTrial
CHEMBL3545361	BAY-1163877	CHEMBL3545361	ChemblInteractions
5530	TRANYLCYPROMINE	CHEMBL313833	GuideToPharmacologyInteractions
PIRACETAM	PIRACETAM	CHEMBL36715	PubChem
CHEMBL225411	GW842166X	CHEMBL225411	ChemblInteractions
(S)-N-(4-CARBAMIMIDOYLBENZYL)-1-(2-(CYCLOPENTYLOXY)ETHANOYL)PYRROLIDINE-2-CARBOXAMIDE			PubChem
2242	CHEMBL312245	CHEMBL312245	GuideToPharmacologyInteractions
230	CHEMBL407909	CHEMBL407909	GuideToPharmacologyInteractions
CHEMBL3707320	ALECTINIB HYDROCHLORIDE	CHEMBL3707320	ChemblInteractions
DAP000280	BRIMONIDINE	CHEMBL844	TTD
UNII-0709BVY57W			PubChem
CHEMBL1615835	MUPARFOSTAT (CHEMBL1615835)	CHEMBL1615835	ChemblInteractions
FLURBIPROFEN SODIUM	FLURBIPROFEN SODIUM	CHEMBL1200990	PubChem
DB02510			PubChem
DCL000139	ISPINESIB (CHEMBL228814)	CHEMBL228814	TTD
7062	CLOBETASOL PROPIONATE	CHEMBL1159650	GuideToPharmacologyInteractions
DAP000999	CINOXACIN	CHEMBL1208	TTD
LY3214996			OncoKB
MEPROBAMATE	MEPROBAMATE	CHEMBL979	TEND
CHEMBL15770	SULINDAC	CHEMBL15770	ChemblInteractions
CHEMBL32113	CHEMBL32113	CHEMBL32113	PubChem
CHEMBL192359	CHEMBL192359	CHEMBL192359	PubChem
PIPERAQUINE	PIPERAQUINE	CHEMBL303933	PubChem
Fulvestrant	FULVESTRANT	CHEMBL1358	CGI
DIHYDROERGOTAMINE	DIHYDROERGOTAMINE	CHEMBL1732	TEND
Sulfamethoxazole	SULFAMETHOXAZOLE	CHEMBL443	FDA
1-METHYLCYCLOPROPANE-1-CARBOXYLIC ACID			PubChem
4083	GABAZINE	CHEMBL32503	GuideToPharmacologyInteractions
7791	MOMELOTINIB	CHEMBL1078178	GuideToPharmacologyInteractions
FLAVOPIRIDOL HYDROCHLORIDE	ALVOCIDIB HYDROCHLORIDE	CHEMBL2105698	PubChem
CHEMBL1200564	IBUTILIDE FUMARATE	CHEMBL1200564	ChemblInteractions
SARACATINIB	SARACATINIB	CHEMBL217092	PubChem
8267	MILATUZUMAB	CHEMBL1743040	GuideToPharmacologyInteractions
NARONAPRIDE	NARONAPRIDE	CHEMBL2103858	PubChem
6702	CHEMBL49895	CHEMBL49895	GuideToPharmacologyInteractions
CHEMBL130499	CHEMBL130499	CHEMBL130499	PubChem
PENTOLINIUM	PENTOLINIUM	CHEMBL1271	PubChem
PERILLYL ALCOHOL	PERILLYL ALCOHOL	CHEMBL236687	NCI
DAP001111	CYCLOPENTOLATE	CHEMBL1201338	TTD
PROPIDIUM	PROPIDIUM	CHEMBL345124	PubChem
N-[(2,5-DIFLUOROPHENYL)METHYL]-4-SULFAMOYLBENZAMIDE			PubChem
NIMODIPINE	NIMODIPINE	CHEMBL1428	TEND
5614	PRELADENANT	CHEMBL240624	GuideToPharmacologyInteractions
SIROLIMUS	SIROLIMUS	CHEMBL413	DoCM
3-(BUTYLSULFONYL)PROPANOIC ACID			PubChem
9192	ENCAINIDE	CHEMBL315838	GuideToPharmacologyInteractions
MEMANTINE	MEMANTINE	CHEMBL807	TEND
6501	FASIDOTRIL	CHEMBL2106226	GuideToPharmacologyInteractions
VASOACTIVE INTESTINAL PEPTIDE			TdgClinicalTrial
5717	VANDETANIB	CHEMBL24828	GuideToPharmacologyInteractions
(2R,3R,4S,5R)-2-ACETAMIDO-3,4-DIHYDROXY-5-HYDROXYMETHYL-PIPERIDINIUM			PubChem
TELATINIB	TELATINIB	CHEMBL2079588	PubChem
STX107	STX107	CHEMBL3545037	TdgClinicalTrial
UNII-CLY7M0XD20	MIGALASTAT HYDROCHLORIDE	CHEMBL2107355	PubChem
2264	AZASETRON	CHEMBL1598608	GuideToPharmacologyInteractions
CHEMBL2048028	LIFITEGRAST	CHEMBL2048028	ChemblInteractions
DCL000011	XL-999	CHEMBL3545285	TTD
1483			GuideToPharmacologyInteractions
THIOGUANINE	THIOGUANINE	CHEMBL727	NCI
CHEMBL3559672	RAUWOLFIA SERPENTINA (CHEMBL3559672)	CHEMBL3559672	ChemblInteractions
TRIAMCINOLONE	TRIAMCINOLONE	CHEMBL1451	TdgClinicalTrial
9551	NAPROXCINOD	CHEMBL2103831	GuideToPharmacologyInteractions
DAP000893	AMBENONIUM	CHEMBL1652	TTD
CHEMBL2108429	MEPOLIZUMAB	CHEMBL2108429	ChemblInteractions
SIBUTRAMINE			PubChem
BMS-908662	XL-281	CHEMBL3545027	PubChem
ELAIDIC ACID	ELAIDIC ACID	CHEMBL460657	PubChem
AC1L1GZN	CHEMBL608539	CHEMBL608539	PubChem
TEGAFUR	TEGAFUR	CHEMBL20883	CIViC
ANGIOTENSIN A			PubChem
TANESPIMYCIN	TANESPIMYCIN	CHEMBL109480	TALC
8658			GuideToPharmacologyInteractions
CHEMBL160318	CHEMBL160318	CHEMBL160318	PubChem
7704			GuideToPharmacologyInteractions
1285	KISSPEPTIN-10	CHEMBL376756	GuideToPharmacologyInteractions
TETRAGASTRIN	TETRAGASTRIN	CHEMBL120632	PubChem
TC-2559	CHEMBL1876219	CHEMBL1876219	PubChem
TAMIBAROTENE	TAMIBAROTENE	CHEMBL25202	TdgClinicalTrial
DYDROGESTERONE	DYDROGESTERONE	CHEMBL1200853	PubChem
LY2181308	GATAPARSEN (CHEMBL2219774)	CHEMBL2219774	TdgClinicalTrial
COSYNTROPIN	COSYNTROPIN	CHEMBL2103784	TEND
[PHE13,TYR19]MCH			PubChem
1771			GuideToPharmacologyInteractions
DAP001106	DESOXYCORTICOSTERONE PIVALATE	CHEMBL1200592	TTD
DCL000170	ALISERTIB	CHEMBL483158	TTD
CHEMBL1201562	INTERFERON BETA-1A	CHEMBL1201562	ChemblInteractions
AICA RIBONUCLEOTIDE	CHEMBL483849	CHEMBL483849	PubChem
PEMETREXED	PEMETREXED (CHEMBL1201258)	CHEMBL1201258	ClearityFoundationClinicalTrial
CHEMBL1231160	PEVONEDISTAT	CHEMBL1231160	ChemblInteractions
DAP000106	ETANERCEPT	CHEMBL1201572	TTD
LY2784544	GANDOTINIB	CHEMBL2107823	PubChem
DAP000745	TORSEMIDE	CHEMBL1148	TTD
DAP001488	LANREOTIDE	CHEMBL1201185	TTD
GLUFOSFAMIDE	GLUFOSFAMIDE	CHEMBL2107143	PubChem
HOMOTAURINE	TRAMIPROSATE	CHEMBL149082	PubChem
BUTORPHANOL	BUTORPHANOL	CHEMBL33986	TdgClinicalTrial
1859	APAFANT	CHEMBL280164	GuideToPharmacologyInteractions
AC1LCW6T	CHEMBL1324521	CHEMBL1324521	PubChem
6258			GuideToPharmacologyInteractions
L-FOLINIC ACID	LEVOLEUCOVORIN	CHEMBL1908841	CIViC
CHEMBL3545282	KC-706	CHEMBL3545282	ChemblInteractions
RECINIFERATOXIN	RESINIFERATOXIN	CHEMBL448382	PubChem
MMP-3 INHIBITOR VII	CHEMBL38851	CHEMBL38851	PubChem
ZAPRINAST	ZAPRINAST	CHEMBL28079	PubChem
CHEMBL1096146	PONESIMOD	CHEMBL1096146	ChemblInteractions
DB03657	CHEMBL134529	CHEMBL134529	PubChem
R101933			NCI
RANOLAZINE DIHYDROCHLORIDE	RANOLAZINE HYDROCHLORIDE	CHEMBL537649	PubChem
CHEMBL806	FLUTAMIDE	CHEMBL806	ChemblInteractions
CHEMBL2040682	CICLESONIDE	CHEMBL2040682	ChemblInteractions
CHEMBL1234009	CHEMBL1234009	CHEMBL1234009	PubChem
GENETICIN	GENETICIN	CHEMBL215226	PubChem
5828	CHEMBL1329101	CHEMBL1329101	GuideToPharmacologyInteractions
3-FLUORO-4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME			PubChem
1502			GuideToPharmacologyInteractions
DCL000529	OBINUTUZUMAB	CHEMBL1743048	TTD
BETANECHOL			TdgClinicalTrial
STEEL FACTOR			NCI
L-PHOSPHOLACTATE	CHEMBL1235229	CHEMBL1235229	PubChem
CP-320626	CHEMBL99889	CHEMBL99889	PubChem
ORG 37684			PubChem
ENZALUTAMIDE	ENZALUTAMIDE	CHEMBL1082407	CancerCommons
PLECANATIDE	PLECANATIDE	CHEMBL2103867	PubChem
GTPL7528	CHEMBL3220860	CHEMBL3220860	PubChem
CHEMBL455907	CHEMBL455907	CHEMBL455907	PubChem
CHEMBL2425617			PubChem
TOSITUMOMAB	TOSITUMOMAB	CHEMBL1201604	TdgClinicalTrial
HERBIMYCIN A, STREPTOMYCES SP.	HERBIMYCIN	CHEMBL479533	PubChem
9478			GuideToPharmacologyInteractions
DAP000719	PHENTERMINE	CHEMBL1574	TTD
TC-5214	DEXMECAMYLAMINE HYDROCHLORIDE	CHEMBL2105753	PubChem
N-ACETYL-D-METHIONINE	CHEMBL174319	CHEMBL174319	PubChem
Lumacaftor	LUMACAFTOR	CHEMBL2103870	FDA
9329	CHEMBL339486	CHEMBL339486	GuideToPharmacologyInteractions
LACTULOSE	LACTULOSE HYDRATE	CHEMBL1237068	NCI
960	CHEMBL196677	CHEMBL196677	GuideToPharmacologyInteractions
CHEMBL3545352	P-1037	CHEMBL3545352	ChemblInteractions
FLUPENTHIXOL	E-FLUPENTIXOL	CHEMBL42055	TdgClinicalTrial
1-[(2R)-2-AMINOBUTANOYL]-N-(4-CARBAMIMIDOYLBENZYL)-L-PROLINAMIDE			PubChem
Phenformin	PHENFORMIN	CHEMBL170988	CGI
VITAXIN	ETARACIZUMAB	CHEMBL1743014	TALC
BMS614	CHEMBL2385269	CHEMBL2385269	PubChem
DPR000179			TTD
CHEMBL1324	TOLCAPONE	CHEMBL1324	ChemblInteractions
4607	RHODAMINE123	CHEMBL176049	GuideToPharmacologyInteractions
CHEBI:44612	CHEMBL1234965	CHEMBL1234965	PubChem
DECYL DIHYDROGEN PHOSPHATE	PHOSPHORIC ACID MONODECYL ESTER	CHEMBL361255	PubChem
8-HYDROXY-5-NITROQUINOLINE	NITROXOLINE	CHEMBL1454910	PubChem
EZATIOSTAT	EZATIOSTAT	CHEMBL2110585	PubChem
DYPHYLLINE	DYPHYLLINE	CHEMBL1752	PubChem
CHEMBL298734	LONAFARNIB	CHEMBL298734	ChemblInteractions
ROSUVASTATIN CALCIUM	ROSUVASTATIN CALCIUM	CHEMBL1744447	PubChem
CHEMBL1201891	DEFLAZACORT	CHEMBL1201891	ChemblInteractions
3,6,9,12,15-PENTAOXATRICOSAN-1-OL			PubChem
ALMITRINE BISMESYLATE	ALMITRINE MESYLATE	CHEMBL314610	PubChem
DAP000812	FONDAPARINUX SODIUM	CHEMBL1200644	TTD
DCL000310			TTD
N-(2-AMINOETHYL)-N~2~-{(1S)-1-[4'-(AMINOSULFONYL)BIPHENYL-4-YL]-2,2,2-TRIFLUOROETHYL}-L-LEUCINAMIDE			PubChem
BROMODEOXYURIDINE			NCI
RHENIUM-186 HYDROXYETHYLIDENE DIPHOSPHONATE			NCI
AC1MHDEF			PubChem
PSORALEN	PSORALEN	CHEMBL164660	NCI
RESVERATROL	RESVERATROL	CHEMBL165	PubChem
9298	CHEMBL222649	CHEMBL222649	GuideToPharmacologyInteractions
27-HYDROXYCHOLESTEROL	CHEMBL353882	CHEMBL353882	PubChem
5895			GuideToPharmacologyInteractions
DAP000040	VERAPAMIL	CHEMBL6966	TTD
4-HYDROXY-TAMOXIFEN	4'-HYDROXYTAMOXIFEN	CHEMBL486	NCI
GLISOXEPIDE	GLISOXEPIDE	CHEMBL2106618	PubChem
8233			GuideToPharmacologyInteractions
2253	CHEMBL306645	CHEMBL306645	GuideToPharmacologyInteractions
